No.,Time,Comment,Scramble,Date,P.1
177,12.02,,B2 L' U2 F D2 L2 B' U2 F' L2 B' L2 R2 U' B' F R2 U' F' L' B2,2022-08-10 12:23:33,12.02
178,28.29,,F2 B L U' D2 B2 D F L' B' D2 B L2 U2 D2 F2 R2 B' U2 D2,2022-08-10 12:24:17,28.29
179,11.91,,R' F D R2 B' D' R U2 F B D2 F2 D2 R2 F' D2 B2 L F2,2022-08-10 12:25:07,11.91
180,14.36,,F2 L2 U2 B U2 B' D2 U2 F' R2 F' D R' D2 L2 F2 D' B L2 F',2022-08-10 12:25:37,14.36
181,14.36,,L U L2 U R2 F2 L2 F2 U F2 D' L2 F' U' B2 F2 U' F' L U,2022-08-10 12:26:08,14.36
182,14.65,,F2 D' L2 F' L2 B' R2 B U2 B U2 B2 D2 F' D R2 D L U F2 D,2022-08-10 12:26:50,14.65
183,11.47,,R L2 U' R2 U' D' F2 R' B U' F2 U' L2 U L2 B2 U B2 R2,2022-08-10 12:27:21,11.47
184,15.80,,R L2 B2 U2 B' D2 L' F2 U' B2 L2 D2 F' B' R2 F' L2 U2 F D2,2022-08-10 12:27:59,15.80
185,15.28,,L' B2 D L2 B2 R2 D2 L2 D2 R2 U F R2 B D' B R2 B2 R',2022-08-10 12:28:34,15.28
186,21.63,,U' L' U2 B D' B' L D' B R' F2 R U2 L' B2 R D2 R L2 B2,2022-08-10 12:29:05,21.63
187,15.07,,D2 L' D2 R B2 D2 L B2 L' F2 L2 F' L' U2 L F' U' B R' U',2022-08-10 12:29:43,15.07
188,15.72,,R U' L2 U2 L2 U2 R2 F2 D' F2 R2 U B2 R' D B R' U L' F' U,2022-08-10 12:30:19,15.72
189,16.92,,U' F2 R2 D2 B2 R U' R L F2 R2 F2 U2 R' U2 F2 R' F2 D2,2022-08-10 12:30:54,16.92
190,19.72,,U L' B D2 F2 D R' L U F' R2 U2 D2 F' R2 L2 B' D2 F2 D2 R2,2022-08-10 12:31:43,19.72
191,17.62,,D L B2 D R' U' B2 U' F' U' L2 B2 U' R2 D2 L2 F2 U L2 D R2,2022-08-10 13:34:00,17.62
192,13.31,,U' B L2 U' F L' F2 D F2 U2 R F2 R2 F2 U2 R2 L' B2 L2 B',2022-08-12 10:04:39,13.31
193,18.80,,F2 R2 F2 U2 B U2 L2 B' L2 B U2 F D F U2 B2 R' D2 F U',2022-08-12 10:05:10,18.80
194,17.63,,L D B' U2 F L F2 U L2 U2 R' U2 B2 R2 U2 R D2 R,2022-08-12 10:06:00,17.63
195,16.28,,B2 L F2 L B U' F D F2 L2 F' U2 F' L2 B L2 U2 D2 B' U',2022-08-12 10:06:35,16.28
196,15.10,,U' R B D2 B D2 F' R' U' L' D2 L2 F2 U2 F2 U2 F2 L F2 R2,2022-08-12 10:07:07,15.10
197,21.16,,R U' R2 F2 D F2 D' B2 F2 D' R' B L D' F' U2 L2 F2 U',2022-08-12 10:07:41,21.16
198,10.56,,R F' L2 U2 B2 U' R2 B2 L2 U2 F2 D2 U' L' F L U' F D' R2,2022-08-12 10:08:19,10.56
199,16.44,,R U F2 U' B2 L2 D2 L2 U2 R2 B2 D B2 F' R' D L2 D' L B' U',2022-08-12 10:09:03,16.44
200,15.84,,R L' F2 R' F R2 B L2 U2 F2 U2 L' B2 D2 R' D2 R B2 D' F,2022-08-12 10:09:37,15.84
201,15.30,,U R2 B2 L B2 D2 R' B2 F2 D2 L' B2 F' D' U F' D2 R D' B2 U',2022-08-12 10:10:18,15.30
202,16.94,,D' B2 R2 U B2 R2 U F2 L2 U' B2 L' D' B' F' R' B D2 R B F',2022-08-12 10:10:53,16.94
203,15.39,,R L' D2 F R2 B D F B2 L D2 F2 R' U2 B2 L U2 L2 D2,2022-08-12 10:11:25,15.39
204,20.48,,U2 F' L2 B2 L2 F2 D2 L' R2 D2 B2 R D2 B2 U F R F D' L2 F,2022-08-12 10:12:07,20.48
205,17.95,,U F2 B' U2 R2 D L D R' F2 B2 L D2 R F2 R D2 R' D2,2022-08-12 11:03:48,17.95
206,14.64,,U B2 L' F' B' U F' L D B2 R2 U2 B2 D B2 L2 U' R2 D' F2,2022-08-12 11:04:32,14.64
207,14.69,,F' R' B2 R2 U2 R D2 B2 R' D2 F2 B U2 B2 L2 F U R' B L',2022-08-12 11:21:49,14.69
208,17.40,,F' L D2 B R U2 B' R2 F' D L2 U L2 B2 R2 L2 D L2 D L2,2022-08-12 11:22:47,17.40
209,17.92,,L F' D2 R2 U2 R F2 R F2 U2 F2 R2 B2 D F' U L' U F L,2022-08-12 11:23:34,17.92
210,18.07,,L' R2 F2 D2 B2 D B2 D B2 L2 D B' L2 F' L F D U' B' L,2022-08-12 11:24:16,18.07
211,16.46,,F' D2 L' F2 R D' L U L B' L2 U2 D2 B' D2 B D2 F U2 D2,2022-08-12 11:25:04,16.46
212,21.40,,L2 R2 D2 B2 D' L2 F2 U L2 U L2 R D B' U2 R F2 D R F U',2022-08-12 11:25:51,21.40
213,17.47,,L2 B2 L2 B2 R U2 L' R D2 B2 R D F' U' F' L2 R' U B D,2022-08-15 14:47:11,17.47
214,17.19,,B' U B2 D B2 U' L2 B2 D' B2 D2 B2 F L D' U L D' B D',2022-08-15 14:47:56,17.19
215,12.28,,R2 D2 U2 F2 R' D2 R U2 R F2 U2 D' R F D' B D2 B R' U2,2022-08-15 14:48:31,12.28
216,15.45,,U2 R' D2 L' R2 U2 L F2 L2 D2 B R U2 B2 U B2 R F2 R,2022-08-15 14:49:00,15.45
217,16.20,,L U2 B' L2 B' F2 U2 R2 F D2 R2 F2 L2 D B U2 L2 R U' L,2022-08-15 14:49:38,16.20
218,19.75,,B2 R2 U B2 R2 U2 F2 D' L2 U F2 L D' L' U2 L' F' R U2 F',2022-08-15 14:50:29,19.75
219,17.59,,R U' L2 D' R2 F U2 B L' F' U2 B D2 B L2 B U2 R2 D2 L2 F',2022-08-15 14:51:38,17.59
220,16.09,,F R2 U F2 U' L2 B2 D' L2 U' F2 L D2 R' U B' L2 B R' D,2022-08-15 14:52:13,16.09
221,13.26,,B2 L2 B2 L2 R' U2 L B2 R' D2 F2 B' U2 R2 U2 R D' R' U' L2,2022-08-15 14:53:05,13.26
222,17.05,,F2 L2 F' U L2 D2 U B2 F2 R2 D' F2 U' L' D' L2 R D B R2,2022-08-15 14:53:38,17.05
223,18.77,,D B2 U F2 R2 U' B2 U B2 D R2 F L D R2 D R U' L2 F2 L,2022-08-15 14:54:20,18.77
224,13.80,,B2 U2 F B2 L D2 B U R2 F L2 B R2 F' D2 F D2 L2 B U2,2022-08-15 14:54:56,13.80
225,16.76,,R D2 L F2 U2 B2 U2 L2 B2 L' D L2 U' L' R F D' F2 D,2022-08-15 14:55:27,16.76
226,15.34,,L F D' B2 L2 U2 R2 D L2 U R2 U B2 L2 R' D R F' D' B2 R',2022-08-15 15:04:56,15.34
227,13.89,,U2 F2 D F' L' F2 U D L' F R F2 D2 F2 L F2 U2 R' D2 L' B2,2022-08-15 15:05:53,13.89
228,17.43,,U L D2 F2 B L' F U' L F' L2 B' L2 B U2 F R2 D2 B2,2022-08-15 15:06:33,17.43
229,15.15,,L U B' U2 R2 D2 F2 R2 U F2 U B2 F2 R' F' L' U' R2 U F,2022-08-15 15:07:11,15.15
230,16.67,,F2 R2 D' F2 D' R2 D' R2 B2 R2 U' L2 R' U' F' D R2 U' L U F2,2022-08-15 15:07:55,16.67
231,14.71,,U' B' L' B2 F D2 F' L2 R2 B L2 B' L2 U' F' L' D' R' D L,2022-08-15 15:08:37,14.71
232,13.44,,L' D' F R2 U2 B2 L2 U2 F2 R2 F' L2 R2 U' R2 D R' U' B2 R U',2022-08-15 15:09:10,13.44
233,20.67,,L2 R2 F2 R2 F U2 B R2 F' D2 F L2 U L B2 F2 L2 B2 R B D',2022-08-15 15:09:42,20.67
234,14.60,,R' D' L2 D B2 L2 U' F2 U' R2 L F R' B U2 L R' B',2022-08-15 15:10:37,14.60
235,15.22,,B2 R' D L' B L U' F R L2 F2 D2 R2 L2 B U2 L2 U2 B2 U2 B',2022-08-15 15:11:09,15.22
236,16.40,,R2 U D' R2 F' D' R D B R D2 F2 B2 R D2 R2 D2 B2 D2 R',2022-08-15 15:11:44,16.40
237,17.63,,B D2 B' L2 B2 L2 U2 L2 D2 F2 D R2 U' B2 L R D' B U' R F,2022-08-15 15:12:17,17.63
238,13.72,,U L2 R2 B F D2 F U2 L2 B D' R' F U2 F2 R F2 U2,2022-08-15 15:13:18,13.72
239,15.45,,R' D R2 B U F2 D' L F' L' U2 F2 U2 D2 L D2 L' B2 R2 B2 R2,2022-08-15 15:14:01,15.45
240,17.75,,U B' R' U R' D' R U2 R2 B D2 B U2 F' R2 L2 F' R2 F' U R,2022-08-15 15:14:42,17.75
241,14.22,,R2 D' F U2 D' B D2 R' D R2 U2 B2 L2 B L2 F' U2 B' D2,2022-08-15 15:15:27,14.22
242,14.08,,L D' F2 L2 F2 U2 B2 D' R2 D2 U R2 B2 R' D2 U' B' F2 R' U' R2,2022-08-15 15:16:04,14.08
243,12.42,,D R F' L2 D L2 F2 U L2 U L2 F2 B L' B' D2 U B2 U2,2022-08-15 15:16:36,12.42
244,20.71,,L2 D2 U2 B2 D2 R U2 L2 D2 U2 B' U L2 F2 L F L2 D R',2022-08-15 15:17:09,20.71
245,16.76,,F' U2 F' D2 R2 F' U2 L2 F' D2 F' D' F L2 R2 F R D' U' L R',2022-08-15 15:17:51,16.76
246,16.60,,F2 L2 D2 R2 D2 F L2 U2 B' D2 F' U2 L' R B' U R2 D' F U' L',2022-08-15 15:18:35,16.60
247,15.41,,R2 D R2 F2 D L2 D F2 L2 D2 L2 R B2 F R' F' R2 D2 U R,2022-08-15 15:19:09,15.41
248,19.23,,L B2 R' D2 R' F2 D2 F2 L' D2 F' L' R' D' R2 U' B R F,2022-08-15 15:20:13,19.23
249,16.17,,D2 B' L2 R2 D2 B2 F' D2 B' L2 B2 R2 D B2 L F2 U B2 D F' D,2022-08-15 15:20:58,16.17
