No.,Time,Comment,Scramble,Date,P.1
74,19.63,,D2 L F' D' L2 F U B2 R' U2 F2 L2 D2 R B2 L B2 R' F2 D,2022-07-20 18:12:47,19.63
75,17.05,,U F2 R2 U2 F2 R2 B' U2 B U2 L2 B' R2 U R B D L B L2 F,2022-07-20 18:13:30,17.05
76,14.62,,U2 R L2 D' B' U L2 B L U2 R2 F2 U B2 D' B2 L2 B2 D' F2 D,2022-07-20 18:14:17,14.62
77,17.41,,U2 B2 F2 D F2 L2 R2 U' L2 F2 U2 B R F D R F U L' B,2022-07-20 18:15:02,17.41
78,16.92,,D B2 R2 D2 R2 D' R2 U2 L2 U F' U2 B' F D L' B' R2 D' R,2022-07-20 18:15:33,16.92
79,18.31,,D' F' R L2 B' L2 U' R2 F2 L' F2 R2 B2 U2 L' U2 L2 B2 R F',2022-07-20 18:16:10,18.31
80,13.38,,B L' U2 F R' L' F B2 L2 D' R2 D2 L2 F2 D' F2 D B2 R',2022-07-20 18:17:23,13.38
81,13.14,,R U F2 R U2 L F2 R D2 R D2 F2 R U B' L R2 F2 D2 B2,2022-07-20 18:18:41,13.14
82,17.45,,R U2 L U' F' D2 R D' L F' L2 D2 F' U2 F R2 D2 F2 L2 B2,2022-07-20 18:19:29,17.45
83,18.32,,U2 F' D2 F2 D2 F' R2 D2 B' U2 B2 U B R2 B' D' F L B U2,2022-07-20 18:20:30,18.32
84,18.19,,L2 R2 U F2 L2 B2 D2 R2 F2 D2 F2 L' F' D2 R U' L B' D' F' D',2022-07-20 18:21:17,18.19
85,14.71,,R2 D R2 U' F2 D' L2 R2 B2 L2 D2 F' U2 R' B' L B2 D L2 F' R,2022-07-20 18:21:52,14.71
86,19.21,,U' F2 U' F' L' B' R' U2 F' U2 L2 F B2 U2 R2 B L2 R D',2022-07-20 18:22:26,19.21
87,23.78,,R2 D R2 D2 L2 B2 U' F2 U2 R2 B2 D R B L' R U2 B' D B2 F,2022-07-20 18:23:11,23.78
88,16.77,,R F' D2 R' D2 F2 L2 B2 L B2 U2 R2 F2 R U L2 R' B' D' L2 D,2022-07-20 18:24:19,16.77
89,16.27,,L2 D2 F2 R2 B2 U R2 D R2 F2 U L2 F D' R2 B R2 U' L' R' D,2022-07-20 18:26:08,16.27
90,18.98,,F2 D R2 B2 U2 L2 D R2 F2 L2 R U L2 R' B L U2 F' L2 U2,2022-07-20 18:27:17,18.98
91,15.32,,L2 U2 R2 F2 D R2 U2 B2 L2 U' B2 F' U B2 L U' B R B F,2022-07-20 18:28:02,15.32
92,15.71,,L B' D L2 D2 U F2 R2 U' R2 B2 L2 U2 B2 L B2 L U2 F U2 F,2022-07-20 18:28:34,15.71
93,14.46,,R U2 B2 R2 D F2 U2 B2 U' R2 D L2 R2 F' L R D F R' B,2022-07-20 18:29:15,14.46
94,13.60,,L2 F' U D' L B U' F B' U R2 D' F2 R2 U' B2 U2 L2 F2 U2,2022-07-20 18:29:51,13.60
95,14.26,,R' D2 R2 B2 R2 U' B2 D R2 D2 U2 F2 B' U B' F' U L R B2,2022-07-20 18:30:34,14.26
96,13.82,,F2 U D2 B2 D2 L' F2 L F2 D2 L B2 R2 B2 F U B L B' L2,2022-07-20 18:31:05,13.82
97,12.74,,F B2 U2 L' D2 R F2 R U2 R' B2 D2 U2 B U2 L U R' F L B,2022-07-20 18:31:39,12.74
98,17.61,,D' L B R2 F' U2 F2 R2 F L2 F' R2 F' U2 R F D L2 R' F2 R,2022-07-20 18:32:12,17.61
99,15.06,,L B2 U2 R' L2 D' F B' R B2 U B2 D' B2 D' L2 B2 U2 F2 D R2,2022-07-20 18:32:52,15.06
100,13.18,,L2 R2 F R2 B R2 F2 U2 B' L2 F R D2 F' D F R U' L' R',2022-07-20 18:33:21,13.18
101,14.80,,R B' R2 F2 R2 F2 U' F2 U L2 F2 D2 R U2 B' D' U' F' D2 R,2022-07-20 18:33:56,14.80
102,17.88,,U R' D2 R2 D2 R2 D L2 F2 D L2 U' L2 U R D R2 B U2 L R2,2022-07-20 18:34:34,17.88
103,17.20,,U2 F2 L2 D' F2 U2 F2 R2 U2 L' U L2 U2 B' D2 B2 F L U2,2022-07-21 12:11:17,17.20
104,16.30,,L F' L' D' B U2 B2 U R' F U2 B U2 F R2 B' D2 F' U2 R2 U2,2022-07-21 12:11:56,16.30
105,19.37,,L U2 B2 D' B2 F2 D' B2 U R2 F L2 R D F U R2 B' L,2022-07-21 12:12:41,19.37
106,17.14,,F2 L' F2 U2 L' D2 B2 U2 R2 F2 R2 D B' R' U' L' U B' L2 U,2022-07-21 12:14:05,17.14
107,15.06,,D' B2 D' F2 D R2 B2 L2 R2 U L R' F' L2 U B U2 L' R D2,2022-07-21 12:14:39,15.06
108,17.03,,R2 U B2 U2 F U2 B U2 L2 B' L2 F' L2 U B' L' B2 F D2 B',2022-07-21 12:16:44,17.03
109,14.82,,L U2 R' D2 R D2 R B2 D2 R' F2 U' B2 U' F' D F2 R' D2 R',2022-07-21 12:17:24,14.82
110,14.57,,D' L' F2 L' B2 F2 L F2 U2 L2 U2 R' B' L2 D' L' F' D F2 R2,2022-07-21 12:18:06,14.57
111,15.39,,L2 U2 F U2 F2 D2 R2 B' R2 F' L2 B R B' D2 U F R' F U',2022-07-21 12:18:47,15.39
112,13.39,,B2 R' B2 U L2 F2 L F R2 U2 R2 B2 U F2 R2 D F2 R2 D2,2022-07-21 12:19:18,13.39
113,15.07,,R B' D2 F' U2 B' U2 R2 F2 R2 B2 U2 L D' U2 L' R2 U' L B,2022-07-21 12:19:55,15.07
114,15.45,,R2 D2 F2 U2 R B2 D2 R' U2 L' F2 B' D U2 B2 U' R U' L' F R2,2022-07-21 12:20:38,15.45
115,19.43,,L' B' L' U' L' F L' D2 F2 L2 F R2 F U2 B U2 L2 B2 D',2022-07-21 12:21:32,19.43
116,15.28,,F R' F R' D2 R2 D' L' D' B2 U' F2 D F2 U' L2 B2 U2 R2 F2 B',2022-07-21 12:22:19,15.28
117,14.94,,B2 U' F L2 B U' B F2 U2 D2 R U2 D2 B2 R' D2 R2 B2 R' B,2022-07-21 12:22:57,14.94
118,17.22,,F2 U2 L B2 D2 B2 U2 L2 B2 L' D2 L2 D' F D' L2 B' L' D' L' B2,2022-07-21 12:23:50,17.22
119,18.41,,D2 R U2 F2 L' F2 L2 B2 R' F2 D2 R B' F2 D B2 U F' R2 D' L,2022-07-21 12:24:37,18.41
120,19.98,,D B R2 U F R2 B' R' B F2 R2 B2 D2 R B2 R' U2 R2 B2 R',2022-07-21 12:25:17,19.98
121,23.84,,F2 U' R2 U F2 L2 F2 D' B2 U' R2 D R D' F U B' U R2 F2 R2,2022-07-21 12:26:20,23.84
122,17.05,,D' F2 U2 L2 B' D2 F2 L2 F' L2 B' R2 D2 R B2 U L2 D' R' D' F,2022-08-10 11:24:32,17.05
123,14.79,,R' D' B L B2 U L' F' R' U2 R D2 B2 R' B2 L' U2 R' D2 F2,2022-08-10 11:26:03,14.79
124,17.11,,U2 B2 R' D2 R B2 R F2 U2 F' R2 D L' B L' F L U R,2022-08-10 11:27:20,17.11
125,12.74,,U B' U' R L' U2 F' R2 B2 D2 L U2 B2 L F2 L F2 B L',2022-08-10 11:28:12,12.74
126,17.16,,U F2 R2 F' L2 D2 B' L2 B2 D2 F D2 F2 R D2 B R F' D2 L' D,2022-08-10 11:28:59,17.16
127,14.68,,L2 U D L2 F R' U R' L' F2 U2 L2 B' D2 B L2 U2 D2 B2,2022-08-10 11:29:35,14.68
128,18.39,,D2 R2 D2 B U2 F' D2 F R2 U2 F U L U2 B F D' F' R' U',2022-08-10 11:30:34,18.39
129,13.69,,D2 R F2 D2 L D2 U2 B2 D2 L B' U F' R U' B2 D' R2 F,2022-08-10 11:31:25,13.69
130,16.07,,D' B2 D2 L2 B2 D2 R2 B L2 B' U2 L R' U' B F2 U R2 F2,2022-08-10 11:31:55,16.07
